category,text,skills
Software Engineering Jobs,experience of modern development tools and practices including git jenkins testdriven development and continuous integrationproficiency with the python programming language and abstract software engineering concept such as common data structures objectoriented programming and regular expressionsability to write comprehensive unit tests including the mocking of external utilities and apiscomfortable developing in a linux and clibased environmentknowledge of standard linux command line debugging toolsskills desiredansible or other infrastructure as code productsscrum kanban or other agile practicesexperience of working with restful apis especially to manage and configure compute and storage infrastructure,['devopspythonlinux']
Software Engineering Jobs,knowledge in ccjava j2ee knowledge in mysql exposure to spring boot rest api jquery bootstrap aws analytical and problem solving skillsmust have deep understanding of objectoriented conceptsability to think and articulate clearly concisely and accuratelycandidate have good communication skillscandidate have good analytical and programmatic skillscandidate has to work independentlyjob types fulltime fresherrole software developerindustry type itsoftware software servicesfunctional area it software application programming maintenanceemployment type full time permanentrole category programming designcall or whatsapp 76l757332o hr team,['software engineeringsoftware developmentsoftware developererprogrammer']
Software Engineering Jobs,java with awsskills java 8 spring core rest webservices micro services hibernate oracle db aws git hub junit minimum of 3 to 8years software developmentengineering experience strong computer science fundamentals in data structures and algorithm design good understanding of time and space complexity experience in objectorientedprogramming particularly java good knowledge of objectoriented design patterns experience with relational database systems eg oracle experience with orm tool eg hibernate experience with spring framework experience designing and implementing rest and soap services deployed in a distributed environment experiencefamiliarity with application server eg weblogic websphere servlet container eg tomcat eg apache http server effective written and verbal communication skills ability to communicate effectively with technical staff business analysts management and business team members knowledge of nosql database experience using agile methodologies primarily scrum experience in using public cloud services eg aws,['junitjavaawsspring corerest webservicesmicro serviceshibernateoracle dbgit hub']
Software Engineering Jobs,exciting growth opportunity for professionals with a zeal to learn and performwork with highly experienced professionalsenjoy flexibility at workplacewe are looking for a javascript developer who loves writing code that is understandable and efficientour client is a software product development services company using cutting edge open source technologies they specialise in highly scalable cloud applications and analytics for large sets of data they have a team of handpicked product veterans that have been successful in delivering high quality results for numerous silicon valley startups and other organisations across the globethe job you will be responsible for designing responsive spas single page applicationscommunicating effectively especially with technical audiencedesigning developing and delivering projects from scratch right from ideation to deliverytaking ownership and working closely with peers and crossfunctional teams to strive with maximum impactthe profileyou possess a be btech me mtech ms mca preferably from a reputed college or university and have at least 4 years experience within software development in a testdriven environmentexpertise in oojs javascript angular2 versiontypescript is requiredyou have handson experience testing spasyou have also implemented rest api concepts along with contract negotiation with backend teamyou are a professional with a strong sense of ownershipyou are driven to find a solution to existing problems by partnering with relevant teamsyou are a gogetterref 87868003,['software product developmentjavascriptsoftware engineeringopen source']
Software Engineering Jobs,work on exciting projects for an international technology companystrong opportunities for learning and career developmenta firm with strong emphasis on employee happinessour client is an international software solution provider that has succeeded with its flexible approach and diversified industrial expertise the company believes that happy employees foster passion and enthusiasm which keeps their clients happythe job you will be responsible for embedding reactnative in a native iosandroid component and vice versabuilding pixelperfect battery smooth uis layouts animations etc across both mobile platformsgathering and evaluating user feedbacktroubleshooting and debugging to optimise app performancewriting welldesigned testable and efficient codeworking as a part of a dynamic team to deliver winning productsproviding code documentation and other inputs to technical documentssupporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural reviewthe profileyou possess a degreediploma in computer science engineering or related field and at least 1 year experience within a software engineer or similar roleyou have strong knowledge of react native and redux with firm grasp on jscss fundamentalsyou have a good understanding of design and architecture patternsyou are familiar with native build tools like xcode grade android studio intellijyou are a strong team player who can manage multiple stakeholdersyou have strong analytical skills and are comfortable dealing with numerical datayou enjoy finding creative solutions to problemsref 21900961,['javascriptcssreact nativeandroid studioiossoftware engineering']
Software Engineering Jobs,opportunity within an international it firmexcellent career development opportunitiesstrong focus on promoting employee happinessour client is an international software solution provider that has succeeded with its flexible approach and diversified industrial expertise the company believes that happy employees foster passion and enthusiasm which keeps their clients happythe job you will be responsible for writing welldesigned testable and efficient codegathering and evaluating user feedbackworking as a part of a dynamic team to deliver winning productsproviding code documentation and other inputs to technical documentssupporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural reviewtroubleshooting and debugging to optimise performancethe profileyou possess a degreediploma in computer science engineering or related fieldyou have at least 3 years of software engineering experience with 2 years experience working as a full time meanmern stackyou possess strong knowledge of nodejs javascript and angular reactvue js developmentyou possess experience in serverside application architectures like expressjs meteorjs etcyou possess experience in developing apis as well as mongo or mysql databaseyou have a strong understanding of the nature of asynchronous programming and its quirks and workaroundsyou have an understanding of fundamental design principles behind a scalable applicationyou have experience in delivering products using an agile methodologyyou have experience with automated unit integration and endtoend testingyou possess strong analytical skills and are comfortable dealing with numerical datayou are highly goal driven and work well in fast paced environmentsref 23150801,['javascriptmean stacknodejsmysqlangularsoftware engineering']
Software Engineering Jobs,4 years of bigdata experience scalapreferred or java ansi sql bash scripting python spark hive hadoop hdfs yarn version control cicd pipeline agile unit integration tests technical documentation application design,['sparkansi sqlcloudbigdata']
Software Engineering Jobs,client interviews in progressjob location canada australia new zealand denmark gulf countrysalary structure 50000 us 60000 us yearlyother benefits free fooding accommodation air tickets vocational air tickets cab facility allowances free education for children pensions medical facility sponsor your relatives migrate with your family no bondduties responsibilities will be almost similar as per your current profileprocess time 4 5 monthssenior software engineer job purpose develops information systems by studying operations designing developing and installing software solutions supports and develops software teamsenior software engineer job dutiesdevelops software solutions by studying information needs conferring with users studying systems flow data usage and work processes investigating problem areas following the software development lifecycledetermines operational feasibility by evaluating analysis problem definition requirements solution development and proposed solutionsdocuments and demonstrates solutions by developing documentation flowcharts layouts diagrams charts code comments and clear codeprepares and installs solutions by determining and designing system specifications standards and programmingimproves operations by conducting systems analysis recommending changes in policies and proceduresupdates job knowledge by studying stateoftheart development tools programming techniques and computing equipment participating in educational opportunities reading professional publications maintaining personal networks participating in professional organizationsprotects operations by keeping information confidentialprovides information by collecting analyzing and summarizing development and service issuesaccomplishes engineering and organization mission by completing related results as neededsupports and develops software engineers by providing advice coaching and educational opportunitiesskillsqualifications analyzing information software design software documentation software testing teamwork general programming skills software development fundamentals software development process software requirements software architecture coachingif you are interested for the same please reply with your updated cv,['none']
Software Engineering Jobs,the offerbe a part of an exciting aidriven app designed for horticultureexcellent career development opportunitiesown new product features from the ground upthe employer our client has developed an app for farmers to help them plan and analyse farming activities easily driven by ai the company is able to monitor the farm conditions and provide realtime data and predictions that will improve harvests reach optimal growth conditionsthe job this role is your opportunity to design build deploy and own new product features from the ground up you will be responsible forbuilding highquality innovative and fully performing software that complies with coding standards and technical designworking with cross functional teams and product managers to ideate software solutionswriting technical documentation developing flow charts layouts and documentation to identify requirements and solutionswriting welldesigned testable codeintegrating software components into a fully functional software systemdeploying programs and evaluating user feedbackcomplying with project plans and industry standardsensuring tools technologies are updated with the latest versionthe profileyou have a degreemaster in computer science engineering or relevant fieldyou have at least 2 years of handson programming experience working on enterprise productsyou have a strong foundation in design analysis and implementation of algorithmsyou have proven experience as a full stack engineer or similar roleyou have experience in designing interactive applicationsyou strongly believe in and have experience in testdriven developmentprior experience developing cloud applications using at least one popular web framework is an added advantage for examplenodejs meteor angular react vue emberyou have good understanding of relational databases or nonrelational databases preferably mongodbhaving basic knowledge of cloud infrastructures like azure aws gce docker or containerbased development is an added advantageyou are proficient in software engineering toolsyou have proven ability to work with cross functional teams and various internal and external stakeholdersyou have the ability to adapt to a dynamic and constantly growing environmentyou have strong analytical and problemsolving skillsyou have excellent verbal and written communication skillsref 49946906,['mongodbazureawsdockerangularreactjsembersoftware engineering']
Software Engineering Jobs,contribute to a leading bollywood news and gossip website and applicationexcellent career development opportunitiesroom to explore and experiment with innovative conceptsour client is a goto website to view latest news in bollywood trends in fashion and beauty and many more their website receives tens of millions of views on a monthly basis from all over the worldthe job in this role you will be creating innovative user interfaces and optimising it for mobile platforms you will have the freedom to explore investigate and prototype innovative concepts to build an application that is extremely lightweight for installing with small memory footprint while in useyou will be responsible fordeveloping production quality flutter based apps with health metrics around crash reporting and improvement trackingadding native components to the app where flutter experience is not idealmeasuring and maintaining it over timeconducting analytics and custom event tracking with firebase google analytics and working on experience with firestore database and firebase remote configurationconducting ab testing setup with firebase and google optimize where neededthe profileyou posses a degree in computer science engineering or equivalent disciplineyou have at least 2 years experience with flutter apps and have worked with native app developmentyou have working understanding of javascript html and cssproduction deployment experience would be a plusyou have experience consuming services exposed via restful apisyou are comfortable with ab testing test automation and other software engineering best practicesyou have proven ability to work independently lead projects and mentor other engineersyou pay strong attention to details and have strong analytical and problemsolving skillsref 00095073,['htmljavascriptfirebasesoftware engineeringprototypegoogle analyticsautomation testing']
Software Engineering Jobs,roles responsibilities1 develop and implement software of embedded devices and systems2 support software qa and optimize io performance3 provide post production support when necessary4 develop code test and troubleshoot the system software5 analyse monitor and improve efficiency stability of the system6 interface with hardware design and development,['embedded systemsccembedded softwareembedded csoftware engineering']
Software Engineering Jobs,join a reputed company that is disrupting the marketstrong potential for career developmentexcellent opportunity for drone enthusiastsour client is an awardwinning oneofakind platform that launches intelligent commercial drones they have a talented and specialised team that is passionate about scaling drone operations around the globethe job you will be responsible for writing welldesigned testable and efficient codegathering and evaluating user feedbackworking as a part of a dynamic team to deliver winning productsproviding code documentation and other inputs to technical documentssupporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural reviewtroubleshooting and debugging to optimise performancethe profileyou possess a degreediploma in computer science engineering or related fieldyou have at least 3 years experience within a software engineer roleyou possess strong knowledge of nodejs and angularjsyou possess strong analytical skills and are comfortable dealing with numerical datayou enjoy finding creative solutions to problemsyou are highly goal driven and work well in fast paced environmentsref 73706811,['creative solutionscareer developmentangularjsnodejssoftware engineeringtechnical documentation']
Software Engineering Jobs,we are hiring btech be cse it or mca freshers 2019 and 2020 passoutsrole software engineerqualification btech or be cse it or mca 2019 and 2020 passoutsexperience freshersindustry itsoftware software servicesfunctional area it software application programming maintenancerequired candidate profilegood communication skillsbtech cse it or mca2019 and 2020 passoutsready to commit for a bond of 2 years mandatoryacademics percentage should be above 60call or whatsapp cv 879l852357,['entry levelbeitapplication programmingsoftware engineeringinformation technology']
Java Jobs,strong java with microservices min 5 years strong spring bootmin 35 years spring cloud spring security cassandra redis kafka git gradle junit linux aws jira agile scrumstrong java with microservices min 5 years strong spring boot min 3 years,['java developerjava developmentdevelop javamicroservicesspring bootspring securitycassandrarediskafka']
Java Jobs,shift time late evening shift 300 pm 1200 ammandatory skills java web services xml and soap on along with hpux os knowledgehigh level jd experience using caautomic version 11 or version 12 and strong unix hpux posix scripting skills work includes the cleanup of about 600 automic job objects each of which executes a script against the hpux core this work would be focused on code normalization and development of a scriptsfunctions library to migrate redundant code out of individual job scripts,['automicweb servicesxmlsoaphpuxhpuxposix']
Java Jobs,designing and developing highvolume lowlatency applications for missioncritical systems and delivering highavailability and performancecontributing in all phases of the development lifecyclewriting well designed testable efficient codecontribute in all phases of the development lifecyclewrite well designed testable efficient codeensure designs are in compliance with specificationsprepare and produce releases of software componentssupport continuous improvement by investigating alternatives and technologies and presenting these for architectural review,['java developerjava']
Java Jobs,min 6 years of experience in java and j2ee application development 15 year working experience in angular 2 is mandatory strong technical skills analytical mindset creative enjoys the challenge of solving interesting and sometimes difficult technical problems experience with all stages in the development lifecycle of large distributed multi tiered systems inception analysis design strong architecture design experience with good knowledge of design patterns their implementation good experience in micro services architecture core java spring spring boot hibernate web services soap rest mq messaging xml technologies moderate knowledge in unix shell scripting good knowledge and experience in rdbms oracle or sql server or any open source database well versed with java coding standards guidelines experience in html javascript frameworks and css development exposure of cicd process is an addon good communication skills experience in the healthcare domain is a plus experience working in agile methodology is addon,['unix shell scriptingjava full stackjava developerjava full stack developerjavaj2eeapplication developerangular 2micro services architecture']
Java Jobs,job descriptionwe are hiring for fresher java android ios developercandidate profilecandidate should be be btech bca mcamcmvery urgent requirementif your profile matches the above requirement and if youre interested in the above opening kindly email your resume at the earliest as word doc attachment without changing the subject lineappsoft solutionsvisit and register for interview appointmenthttpwwwadimirecom,['fresherjava developerjava programmerios developerjavaandroidiossoftware developer']
Java Jobs,job descriptionwe are hiring for fresher java android ios developercandidate profilecandidate should be be btech bca mcamcmvery urgent requirementif your profile matches the above requirement and if youre interested in the above opening kindly email your resume at the earliest as word doc attachment without changing the subject lineappsoft solutionsvisit and register for interview appointmenthttpwwwadimirecom,['java developerjava programmerios developerfreshersjavaandroid']
Java Jobs,please find the below job description job description for java developerrole java developerskills required javaspringbootexperience 3 to 7 yearslocation mumbainpimmediate,['javaspringboot']
Java Jobs,jrss application developerjava web technologiesband 7alocation bangalorehaving 35 yrs of core java j2eespringframework eager to learn a gogetter type of developer big data experience is a plus but it not required,['core java j2eespring framework']
Java Jobs,web developerjava engineerdeveloper are in huge demand for germany canada australia hong kongwriting efficient codecreating websitesa website using standard htmlcss practicesworking closely with web designers and programmers to produce the websiteconstant communication with other colleagues in the business to develop and deploy their content and ensuring there is a clear establishment of what can be created within what timeframeresearching different software programs maintaining software documentationimplementing contingency plans in case the website goes downmaintaining and expandingenhancing the website once builtmanaging a team might also be part of the job role e mail confidential informationsalary best in the industryfor more details reach us on 91 9841445777,['web developersweb programmerweb developerjava engineerdeveloperjava']
Java Jobs,job descriptionwe are hiring for fresher java developer in puneshould have experience with core java web servicescandidate profilecandidate should be be btech bca mcamcmvery urgent requirementif your profile matches the above requirement and if youre interested in the above opening kindly email your resume at the earliest as word doc attachment without changing the subject linearyantech india pvt ltd204 2nd flr pinnacle pride sadashiv pethabove maharashtra electronics nr durvankur dining hall tilakroad pune 411 030visit and register for interview appointmentwwwaryantechorg,['java developerweb servicesjavafresherjava programmercore java']
Java Jobs,maxgen technologies pvt ltd is an it company based in navi mumbaiwe are available for offline or online core java advance java hibernate spring internshiphave relevant skills and interestscan start the internship before feb 2021are available for duration of 3 to 6 month monthshave already graduated or are currently in any year of studyeducation any pursuing or passout student can joinexperience no experience requiredcall 90990398459909163651visit us wwwmaxgentechnologiescomaddress ambiance 1505sector 19 dopposite rtonear turbhe stationvashi navi mumbai,['internshiplive projectsacademic projectsb techbcamscbeprojectsjava internshipmca']
Java Jobs,maxgen technologies pvt ltd offering java winter internship in pune we are providing internship incore java advance java hibernate springwe provide assured job placement after the internshipcandidate can join us for college project internshipcall 9909163651 9099039845visit us wwmaxgentechnologiescomaddress 404 4th floor pride iconkharadinear columbia asia hospital pune,['internshiplive projectsacademic projectsb techbcamscbejava internshipmcamca internship']
Java Jobs,solid experience with core java expertise with testing frameworks such as junit testng expertise with ui automation frameworks such as selenium cucumber cypressprotractor experience with performance test frameworks like jmeter gatling locust is a plus experience working on one of aws azure or gcp is a plus exposure to cicd pipelines jenkins cloud deployment and devops tasks is a plus understanding of big data technologies such as spark hadoop is a plus expertise with security test tools and technologies is a plus should be strong in test methodologies test processes should have good knowledge of linux environment,['solid experience with core java expertise with testing frameworks such as junittestng expertise with ui automation frameworks such as seleniumcypressprotractorcucumber']
Java Jobs,experience 5 10yrs job location bangalore position contract to hire for 3 6 months notice period immediate to one week job description contribute in all phases of the development lifecycle write well designed testable efficient code ensure designs are in compliance with specifications prepare and produce releases of software components support continuous improvement by investigating alternatives and technologies and presenting these for architectural review,['corejavaangular']
Java Jobs,4 to 10 years of experience in developing fullstack enterprise application development with javaj2ee spring springboot hibernet jpa hibernate angular 2 design patternsstrong java programming knowledge with good problemsolving skillshould have strong knowledge in restful web services and micro servicesa strong ability to understand and organize data from various sourcesproficient in understanding of web markup including html5 css3should have been involved in solutioning architecting new web applicationsability to solve the day to day coding challenge and understand best coding practicesstrong selfmotivation must be able to succeed with minimal resources and minimal supervisiondemonstrated ability to understand the business and ability to contribute to technology direction that gives to measurable business improvementsexcellent written verbal technical and interpersonal communications skillspreferred early joiners,['java developerfull stack developerjava fullstack developerjava programmerdevelopercore javajava strutsjsphibernatejavaspringjava eejava j2ee']
Java Jobs,extensive experience in hadoop hive hbase and sparkhandson development experience in java and spark with scala using mavenclear understanding of hadoop dfs map reduce internal operationsclear understanding of internal execution mechanism of sparkindepth understanding of hive on spark engine and clear understanding of internals of hbasestrong java programming concepts and clear design patterns understandingexperienced in implementing data munging transformation and processing solutions using sparkexperienced in developing performance optimized analytical hive queries executing against huge datasetsexperience in hbase data model designing and hive physical storage model designing,['big dataawssparkscalahivehbasehadoop']
